data,descricao,tipo,valor
2022-05-09,Manutenção,despesa,-8785.77
2022-04-03,Investimento,receita,3556.14
2022-08-31,Investimento,receita,1539.29
2023-07-21,Manutenção,despesa,-5913.37
2023-05-16,Salário,receita,6261.94
2022-04-17,Venda de produto,receita,2259.47
2023-11-01,Conta de luz,despesa,-6357.01
2023-09-28,Manutenção,despesa,-8156.27
2023-05-26,Venda de produto,receita,1343.4
2022-04-23,Reembolso,receita,4898.88
2023-06-02,Compra de estoque,despesa,-1658.95
2022-09-15,Manutenção,despesa,-1854.26
2023-07-21,Venda de produto,receita,6385.67
2022-08-25,Reembolso,receita,4793.65
2022-04-16,Conta de luz,despesa,-4560.63
2022-10-14,Reembolso,receita,7251.82
2023-02-05,Investimento,receita,8056.32
2023-02-27,Salário,receita,5654.15
2022-06-05,Manutenção,despesa,-5918.54
2023-06-17,Conta de luz,despesa,-6598.06
2023-07-28,Investimento,receita,509.86
2023-04-25,Salário,receita,4531.78
2023-03-24,Venda de produto,receita,362.07
2022-05-23,Reembolso,receita,8087.97
2022-11-02,Salário,receita,1135.75
2023-01-11,Venda de produto,receita,3722.66
2022-01-20,Manutenção,despesa,-1828.88
2022-08-19,Salário,receita,2494.93
2022-01-21,Investimento,receita,724.36
2023-11-11,Manutenção,despesa,-1624.61
2023-02-06,Venda de produto,receita,8571.15
2023-05-10,Conta de luz,despesa,-952.71
2023-04-23,Manutenção,despesa,-8623.46
2023-11-26,Reembolso,receita,2921.61
2022-01-17,Salário,receita,8711.39
2022-02-13,Manutenção,despesa,-959.97
2023-04-15,Aluguel,despesa,-761.58
2022-06-23,Conta de luz,despesa,-5965.52
2023-06-10,Compra de estoque,despesa,-3078.1
2023-10-09,Investimento,receita,829.86
2023-09-30,Investimento,receita,6830.86
2022-11-29,Investimento,receita,3236.34
2023-11-13,Manutenção,despesa,-9803.63
2022-06-27,Compra de estoque,despesa,-416.81
2023-06-29,Venda de produto,receita,8095.11
2023-04-17,Investimento,receita,312.48
2022-02-02,Manutenção,despesa,-4782.34
2022-11-07,Venda de produto,receita,9177.22
2022-06-22,Investimento,receita,2203.67
2023-06-08,Venda de produto,receita,4304.17
2023-09-29,Investimento,receita,5999.89
2022-08-27,Salário,receita,2450.03
2023-08-18,Aluguel,despesa,-3807.18
2022-01-29,Reembolso,receita,8444.07
2023-03-19,Venda de produto,receita,2247.19
2022-03-18,Manutenção,despesa,-4825.2
2023-07-19,Aluguel,despesa,-1135.81
2023-10-31,Salário,receita,7678.85
2023-02-20,Salário,receita,6293.9
2023-01-11,Compra de estoque,despesa,-7602.65
2022-05-14,Conta de luz,despesa,-5490.09
2023-02-17,Manutenção,despesa,-9805.14
2022-07-03,Compra de estoque,despesa,-8361.86
2022-06-29,Salário,receita,9946.0
2022-09-19,Salário,receita,4820.14
2022-11-24,Manutenção,despesa,-8411.58
2022-11-24,Conta de luz,despesa,-6582.27
2022-12-11,Reembolso,receita,8471.02
2022-07-11,Reembolso,receita,7186.58
2023-11-29,Salário,receita,5611.43
2022-09-06,Investimento,receita,8421.42
2023-01-30,Manutenção,despesa,-8411.34
2022-06-09,Venda de produto,receita,4832.19
2023-05-28,Venda de produto,receita,8089.0
2023-12-04,Manutenção,despesa,-4773.78
2022-12-30,Salário,receita,9719.66
2023-03-01,Aluguel,despesa,-1935.74
2022-05-18,Aluguel,despesa,-6321.67
2023-04-26,Investimento,receita,5005.92
2023-09-28,Venda de produto,receita,5448.07
2022-10-18,Manutenção,despesa,-6604.59
2022-06-28,Manutenção,despesa,-9076.8
2023-08-21,Aluguel,despesa,-343.96
2023-07-28,Compra de estoque,despesa,-7163.61
2023-11-19,Aluguel,despesa,-8199.12
2023-02-06,Conta de luz,despesa,-5513.95
2023-07-06,Salário,receita,7822.71
2022-09-07,Investimento,receita,4499.52
2023-06-21,Venda de produto,receita,6495.36
2023-12-01,Conta de luz,despesa,-5259.29
2023-12-01,Aluguel,despesa,-301.58
2022-09-25,Compra de estoque,despesa,-1904.8
2023-06-02,Manutenção,despesa,-5333.14
2023-09-25,Conta de luz,despesa,-1369.75
2023-10-04,Conta de luz,despesa,-6720.6
2022-06-12,Manutenção,despesa,-3083.82
